Countries and areas,Region,Sub-region,Development regions,Age group,Subject,Total,Gender Girls,Gender Boys,Residence Rural,Residence Urban,Wealth quintile: Poorest,Wealth quintile: Second,Wealth quintile: Middle,Wealth quintile: Fourth,Wealth quintile: Richest,Data Source,Data Year
Bangladesh,SA,SA,Least Developed,Age 7 to 14,Reading,49 ,52 ,45 ,47 ,56 ,35 ,44 ,51 ,55 ,64 ,MICS6,2019
Bangladesh,SA,SA,Least Developed,Age 7 to 14,Numeracy,28 ,29 ,27 ,27 ,33 ,20 ,25 ,27 ,31 ,39 ,MICS6,2019
Bangladesh,SA,SA,Least Developed,Grade 2/3,Reading,25 ,26 ,23 ,22 ,36 ,17 ,18 ,23 ,29 ,42 ,MICS6,2019
Bangladesh,SA,SA,Least Developed,Grade 2/3,Numeracy,13 ,12 ,13 ,11 ,17 ,9 ,10 ,11 ,13 ,22 ,MICS6,2019
Central African Republic,SSA,WCA,Least Developed,Age 7 to 14,Reading,5 ,5 ,5 ,2 ,9 ,0 ,3 ,2 ,4 ,13 ,MICS6,2018-2019
Central African Republic,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,2 ,1 ,2 ,1 ,3 ,0 ,1 ,2 ,1 ,3 ,MICS6,2018-2019
Central African Republic,SSA,WCA,Least Developed,Grade 2/3,Reading,2 ,2 ,2 ,1 ,2 ,0 ,2 ,1 ,1 ,3 ,MICS6,2018-2019
Central African Republic,SSA,WCA,Least Developed,Grade 2/3,Numeracy,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,MICS6,2018-2019
Chad,SSA,WCA,Least Developed,Age 7 to 14,Reading,4 ,4 ,5 ,3 ,13 ,1 ,1 ,2 ,6 ,12 ,MICS6,2019
Chad,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,7 ,6 ,8 ,5 ,17 ,2 ,3 ,4 ,7 ,17 ,MICS6,2019
Chad,SSA,WCA,Least Developed,Grade 2/3,Reading,3 ,1 ,4 ,2 ,6 ,0 ,0 ,1 ,3 ,5 ,MICS6,2019
Chad,SSA,WCA,Least Developed,Grade 2/3,Numeracy,5 ,4 ,7 ,5 ,9 ,1 ,4 ,5 ,4 ,9 ,MICS6,2019
Democratic Republic of the Congo,SSA,WCA,Least Developed,Age 7 to 14,Reading,9 ,9 ,9 ,4 ,15 ,2 ,3 ,5 ,12 ,24 ,MICS6,2017-2018
Democratic Republic of the Congo,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,MICS6,2017-2018
Democratic Republic of the Congo,SSA,WCA,Least Developed,Grade 2/3,Reading,8 ,7 ,9 ,4 ,14 ,1 ,5 ,4 ,8 ,23 ,MICS6,2017-2018
Democratic Republic of the Congo,SSA,WCA,Least Developed,Grade 2/3,Numeracy,1 ,1 ,1 ,0 ,2 ,0 ,0 ,0 ,2 ,2 ,MICS6,2017-2018
Gambia,SSA,WCA,Least Developed,Age 7 to 14,Reading,12 ,13 ,11 ,7 ,16 ,5 ,9 ,10 ,13 ,29 ,MICS6,2018
Gambia,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,9 ,10 ,7 ,3 ,12 ,3 ,5 ,10 ,12 ,15 ,MICS6,2018
Gambia,SSA,WCA,Least Developed,Grade 2/3,Reading,5 ,6 ,4 ,3 ,6 ,3 ,4 ,2 ,6 ,12 ,MICS6,2018
Gambia,SSA,WCA,Least Developed,Grade 2/3,Numeracy,4 ,4 ,3 ,1 ,5 ,1 ,2 ,5 ,4 ,7 ,MICS6,2018
Ghana,SSA,WCA,Less Developed,Age 7 to 14,Reading,21 ,22 ,20 ,12 ,34 ,5 ,11 ,21 ,28 ,50 ,MICS6,2017-2018
Ghana,SSA,WCA,Less Developed,Age 7 to 14,Numeracy,16 ,14 ,17 ,11 ,22 ,5 ,12 ,13 ,21 ,31 ,MICS6,2017-2018
Ghana,SSA,WCA,Less Developed,Grade 2/3,Reading,6 ,6 ,6 ,2 ,11 ,0 ,2 ,3 ,5 ,26 ,MICS6,2017-2018
Ghana,SSA,WCA,Less Developed,Grade 2/3,Numeracy,8 ,5 ,11 ,4 ,13 ,1 ,12 ,2 ,9 ,20 ,MICS6,2017-2018
Guinea-Bissau,SSA,WCA,Least Developed,Age 7 to 14,Reading,12 ,13 ,12 ,6 ,24 ,4 ,4 ,6 ,20 ,29 ,MICS6,2018-2019
Guinea-Bissau,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,7 ,7 ,8 ,7 ,8 ,6 ,7 ,8 ,8 ,9 ,MICS6,2018-2019
Guinea-Bissau,SSA,WCA,Least Developed,Grade 2/3,Reading,6 ,6 ,6 ,3 ,10 ,1 ,3 ,3 ,10 ,10 ,MICS6,2018-2019
Guinea-Bissau,SSA,WCA,Least Developed,Grade 2/3,Numeracy,4 ,2 ,7 ,5 ,4 ,4 ,7 ,5 ,4 ,2 ,MICS6,2018-2019
Kiribati,EAP,EAP,Least Developed,Age 7 to 14,Reading,35 ,41 ,30 ,35 ,36 ,33 ,33 ,27 ,31 ,54 ,MICS6,2018-2019
