Countries and areas,Subject,Total,Gender Girls,Gender Boys,poorest,richest
Central African Republic,Numeracy,0,0,1,0,0
Democratic Republic of the Congo,Numeracy,0,1,0,0,1
Democratic Republic of the Congo,Numeracy,1,1,1,0,2
Lesotho,Numeracy,1,2,0,1,2
Central African Republic,Numeracy,2,1,2,0,3
Central African Republic,Reading,2,2,2,0,3
Chad,Reading,3,1,4,0,5
Togo,Numeracy,3,3,3,1,8
Chad,Reading,4,4,5,1,12
Gambia,Numeracy,4,4,3,1,7
Guinea-Bissau,Numeracy,4,2,7,4,2
Madagascar,Numeracy,4,5,3,1,14
Togo,Reading,4,5,3,3,15
Central African Republic,Reading,5,5,5,0,13
Chad,Numeracy,5,4,7,1,9
Gambia,Reading,5,6,4,3,12
Suriname,Numeracy,5,4,5,3,16
Zimbabwe,Numeracy,5,4,6,0,17
Ghana,Reading,6,6,6,0,26
Guinea-Bissau,Reading,6,6,6,1,10
Sierra Leone,Reading,6,8,4,1,18
Sierra Leone,Numeracy,6,6,5,2,15
Chad,Numeracy,7,6,8,2,17
Guinea-Bissau,Numeracy,7,7,8,6,9
Madagascar,Numeracy,7,8,6,1,20
Pakistan (Punjab),Numeracy,7,7,8,4,12
Democratic Republic of the Congo,Reading,8,7,9,1,23
Ghana,Numeracy,8,5,11,1,20
Democratic Republic of the Congo,Reading,9,9,9,2,24
Gambia,Numeracy,9,10,7,3,15
Togo,Numeracy,9,9,9,3,16
Gambia,Reading,12,13,11,5,29
Guinea-Bissau,Reading,12,13,12,4,29
Kiribati,Numeracy,12,12,12,12,21
Pakistan (Punjab),Numeracy,12,11,13,6,18
Sierra Leone,Numeracy,12,11,13,3,25
Bangladesh,Numeracy,13,12,13,9,22
Lesotho,Numeracy,13,15,11,7,20
Lesotho,Reading,13,18,8,8,36
Madagascar,Reading,13,15,12,7,33
