Countries and areas,Subject,Total,poorest,richest,wealth_gap,rural,urban,location_gap
Mongolia,Reading,63,60,66,6,63,63,0
Turkmenistan,Reading,82,76,85,9,83,79,-4
Tonga,Reading,63,61,71,10,60,72,12
Tonga,Numeracy,52,48,60,12,50,62,12
Kyrgyzstan,Numeracy,51,51,64,13,49,56,7
Thailand,Reading,73,62,78,16,70,76,6
Thailand,Numeracy,51,42,58,16,48,56,8
Turkmenistan,Numeracy,70,61,79,18,69,71,2
Thailand,Numeracy,69,59,78,19,65,73,8
Thailand,Reading,57,42,64,22,56,59,3
State of Palestine,Reading,53,40,64,24,59,52,-7
Kyrgyzstan,Reading,58,53,77,24,54,67,13
North Macedonia,Reading,64,47,79,32,62,66,4
Tunisia,Reading,66,45,80,35,53,72,19
Turkmenistan,Reading,71,,,,,,
Turkmenistan,Numeracy,53,,,,,,
