Countries and areas,Region,Subject,Total,poorest,second,middle,poorest_to_middle_gain,richest,total_wealth_gap
Turkmenistan,ECA,Reading,82,76,90,79,3,85,9
Thailand,EAP,Reading,73,62,73,74,12,78,16
Tonga,EAP,Reading,63,61,59,64,3,71,10
Turkmenistan,ECA,Numeracy,70,61,68,72,11,79,18
Mongolia,EAP,Reading,63,60,59,66,6,66,6
Thailand,EAP,Numeracy,69,59,65,68,9,78,19
Kyrgyzstan,ECA,Reading,58,53,52,52,-1,77,24
Kyrgyzstan,ECA,Numeracy,51,51,43,52,1,64,13
Tonga,EAP,Numeracy,52,48,50,50,2,60,12
North Macedonia,ECA,Reading,64,47,56,75,28,79,32
Mongolia,EAP,Numeracy,46,46,43,47,1,46,0
Tunisia,MENA,Reading,66,45,59,71,26,80,35
Thailand,EAP,Numeracy,51,42,52,49,7,58,16
Thailand,EAP,Reading,57,42,63,54,12,64,22
Mongolia,EAP,Reading,45,41,40,45,4,50,9
State of Palestine,MENA,Reading,53,40,48,56,16,64,24
Kyrgyzstan,ECA,Reading,39,37,20,43,6,64,27
Kyrgyzstan,ECA,Numeracy,30,35,17,32,-3,42,7
Bangladesh,SA,Reading,49,35,44,51,16,64,29
Kiribati,EAP,Reading,35,33,33,27,-6,54,21
Nepal,SA,Reading,39,33,38,34,1,56,23
Suriname,LAC,Reading,47,32,39,52,20,65,33
State of Palestine,MENA,Numeracy,46,30,39,51,21,60,30
