Countries and areas,Region,Subject,girls,boys,gender_gap,Total
Suriname,LAC,Reading,47,47,0,47
State of Palestine,MENA,Numeracy,46,46,0,46
Mongolia,EAP,Reading,64,63,1,63
Turkmenistan,ECA,Reading,84,82,2,82
Tonga,EAP,Reading,46,48,2,47
Tunisia,MENA,Reading,48,46,2,47
Thailand,EAP,Reading,59,56,3,57
Tonga,EAP,Numeracy,54,51,3,52
Turkmenistan,ECA,Numeracy,72,68,4,70
Thailand,EAP,Numeracy,71,67,4,69
Tunisia,MENA,Reading,68,64,4,66
Tonga,EAP,Reading,65,61,4,63
Kyrgyzstan,ECA,Reading,60,56,4,58
Thailand,EAP,Numeracy,53,49,4,51
Mongolia,EAP,Numeracy,48,44,4,46
