Countries and areas,Region,Subject,Total,poorest,second,middle,rural,intervention_level
Central African Republic,SSA,Numeracy,0,0,1,1,1,Critical - Foundational Skills
Democratic Republic of the Congo,SSA,Numeracy,0,0,0,0,0,Critical - Foundational Skills
Democratic Republic of the Congo,SSA,Numeracy,1,0,0,0,0,Critical - Foundational Skills
Lesotho,SSA,Numeracy,1,1,0,2,1,Critical - Foundational Skills
Central African Republic,SSA,Numeracy,2,0,1,2,1,Critical - Foundational Skills
Central African Republic,SSA,Reading,2,0,2,1,1,Critical - Foundational Skills
Chad,SSA,Reading,3,0,0,1,2,Critical - Foundational Skills
Togo,SSA,Numeracy,3,1,0,3,2,Critical - Foundational Skills
Chad,SSA,Reading,4,1,1,2,3,Critical - Foundational Skills
Gambia,SSA,Numeracy,4,1,2,5,1,Critical - Foundational Skills
Madagascar,SSA,Numeracy,4,1,2,2,4,Critical - Foundational Skills
Togo,SSA,Reading,4,3,0,3,2,Critical - Foundational Skills
Guinea-Bissau,SSA,Numeracy,4,4,7,5,5,Critical - Foundational Skills
Central African Republic,SSA,Reading,5,0,3,2,2,Critical - Foundational Skills
Zimbabwe,SSA,Numeracy,5,0,3,2,2,Critical - Foundational Skills
Chad,SSA,Numeracy,5,1,4,5,5,Critical - Foundational Skills
Gambia,SSA,Reading,5,3,4,2,3,Critical - Foundational Skills
Suriname,LAC,Numeracy,5,3,3,3,5,Critical - Foundational Skills
Ghana,SSA,Reading,6,0,2,3,2,Critical - Foundational Skills
Guinea-Bissau,SSA,Reading,6,1,3,3,3,Critical - Foundational Skills
Sierra Leone,SSA,Reading,6,1,1,1,2,Critical - Foundational Skills
Sierra Leone,SSA,Numeracy,6,2,2,2,2,Critical - Foundational Skills
Madagascar,SSA,Numeracy,7,1,3,5,6,Critical - Foundational Skills
Chad,SSA,Numeracy,7,2,3,4,5,Critical - Foundational Skills
Pakistan (Punjab),SA,Numeracy,7,4,7,8,6,Critical - Foundational Skills
Guinea-Bissau,SSA,Numeracy,7,6,7,8,7,Critical - Foundational Skills
Democratic Republic of the Congo,SSA,Reading,8,1,5,4,4,Critical - Foundational Skills
Ghana,SSA,Numeracy,8,1,12,2,4,Critical - Foundational Skills
Democratic Republic of the Congo,SSA,Reading,9,2,3,5,4,Critical - Foundational Skills
Togo,SSA,Numeracy,9,3,3,8,6,Critical - Foundational Skills
