Countries and areas,Subject,Total,poorest,richest,wealth_gap,ai_personalization_priority
Madagascar,Reading,24,5,59,54,High Personalization Need
Zimbabwe,Reading,20,6,51,45,High Personalization Need
Ghana,Reading,21,5,50,45,High Personalization Need
Suriname,Reading,23,12,56,44,High Personalization Need
Pakistan (Punjab),Reading,36,16,59,43,High Personalization Need
Togo,Reading,18,5,43,38,High Personalization Need
Sierra Leone,Reading,16,2,39,37,High Personalization Need
Nepal,Numeracy,20,3,40,37,High Personalization Need
Nepal,Numeracy,37,22,58,36,High Personalization Need
Sao Tome and Principe,Reading,38,23,59,36,High Personalization Need
Zimbabwe,Numeracy,25,13,47,34,High Personalization Need
Kiribati,Reading,29,18,51,33,High Personalization Need
Sao Tome and Principe,Reading,20,7,37,30,Moderate Personalization Need
Lesotho,Reading,13,8,36,28,Moderate Personalization Need
Sao Tome and Principe,Numeracy,18,8,36,28,Moderate Personalization Need
Nepal,Reading,20,11,39,28,Moderate Personalization Need
Pakistan (Punjab),Reading,25,14,41,27,Moderate Personalization Need
Sao Tome and Principe,Numeracy,36,24,51,27,Moderate Personalization Need
Kyrgyzstan,Reading,39,37,64,27,Moderate Personalization Need
Ghana,Reading,6,0,26,26,Moderate Personalization Need
